"Time","Category","Note","Income.Expense","Amount","Currency","X","X.1","Date"
"1/12/2022 22:44","Other","Recharge by gowdham","Expense",5.748,"USD",NA,NA,2022-01-12
"1/12/2022 13:25","Food","Pizza","Expense",3.621,"USD",NA,NA,2022-01-12
"1/11/2022 14:07","Food","Lunch with not preethi","Expense",1.626,"USD",NA,NA,2022-01-11
"1/10/2022 14:04","Food","Friday snacks with preethi gang","Expense",1.272,"USD",NA,NA,2022-01-10
"1/8/2022 13:45","Food","Lunch with gowdham","Expense",6.4236,"USD",NA,NA,2022-01-08
"1/8/2022 13:38","Household","Rent","Expense",54.96,"USD",NA,NA,2022-01-08
"1/7/2022 13:51","Food","Coffee + biscuit","Expense",0.18,"USD",NA,NA,2022-01-07
"1/6/2022 20:58","Food","Ketch up","Expense",0.24,"USD",NA,NA,2022-01-06
"1/6/2022 20:13","Food","Dinner with roommate","Expense",10.53372,"USD",NA,NA,2022-01-06
"1/6/2022 14:22","Food","Bingo","Expense",0.12,"USD",NA,NA,2022-01-06
"1/6/2022 11:48","Transportation","Rapido to pg","Expense",0.504,"USD",NA,NA,2022-01-06
"1/5/2022 20:23","Food","McDonald's with company","Expense",2.532,"USD",NA,NA,2022-01-05
"1/5/2022 14:46","Other","Lended money returned to vishnu","Expense",0.48,"USD",NA,NA,2022-01-05
"1/5/2022 14:42","Other","Lended money returned to kumara","Expense",0.36,"USD",NA,NA,2022-01-05
"1/5/2022 14:42","Food","Jan 2nd with shakur and barath","Expense",4.248,"USD",NA,NA,2022-01-05
"1/5/2022 14:39","Other","To gobi 1st 1/4th","Expense",6,"USD",NA,NA,2022-01-05
"1/5/2022 14:37","Other","To abijith and to vicky lend money returned","Expense",6,"USD",NA,NA,2022-01-05
"1/5/2022 14:35","Transportation","Refund for bus ticket","Expense",0.72,"USD",NA,NA,2022-01-05
"1/5/2022 14:30","Food","Lunch with company","Expense",4.656,"USD",NA,NA,2022-01-05
"1/4/2022 22:11","Education","Arrear and reval fee","Expense",16.8,"USD",NA,NA,2022-01-04
"1/4/2022 13:53","Food","Lunch with company","Expense",1.272,"USD",NA,NA,2022-01-04
"1/4/2022 8:01","Other","To vicky","Expense",0.96,"USD",NA,NA,2022-01-04
"1/4/2022 7:58","Food","Sent to preethi","Expense",1.284,"USD",NA,NA,2022-01-04
"1/3/2022 22:15","Food","Dairy milk","Expense",0.12,"USD",NA,NA,2022-01-03
"1/3/2022 14:31","Food","Lunch unlimited nv","Expense",3.6,"USD",NA,NA,2022-01-03
"1/2/2022 20:33","Other","Tablet to gowdham","Expense",0.096,"USD",NA,NA,2022-01-02
"1/2/2022 20:32","Food","Dinner with barath","Expense",2.4,"USD",NA,NA,2022-01-02
"1/2/2022 14:16","Transportation","Train to vnr","Expense",8.7,"USD",NA,NA,2022-01-02
"1/1/2022 21:46","Food","Snacks","Expense",1.02,"USD",NA,NA,2022-01-01
"12/30/2021 14:10","Food","To barath","Expense",0.24,"USD",NA,NA,2021-12-30
"12/30/2021 13:56","Transportation","Pg to office","Expense",0.516,"USD",NA,NA,2021-12-30
"12/30/2021 12:43","Food","Horlicks + kolakattai","Expense",0.3,"USD",NA,NA,2021-12-30
"12/30/2021 12:38","Transportation","Bommasandra to pg","Expense",2.388,"USD",NA,NA,2021-12-30
"12/30/2021 11:45","Food","Water","Expense",0.24,"USD",NA,NA,2021-12-30
"12/30/2021 11:45","Transportation","Rapido + toll","Expense",3.432,"USD",NA,NA,2021-12-30
"12/28/2021 13:42","Food","Coffee and thattai","Expense",0.168,"USD",NA,NA,2021-12-28
